date,area,category,complaint_type,severity,status,department,notes
2026-07-04,BTM Layout,Roads,Broken streetlight,high,Open,Public Works,Third complaint from the same street.
2026-06-26,Basavanagudi,Public Health,Food safety,critical,In Progress,Health Dept,Recurring issue during monsoon.
2026-07-01,Koramangala,Sanitation,Blocked sewer,high,Open,Sanitation Dept,Reported via city helpline.
2026-07-18,Koramangala,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-07-10,Basavanagudi,Sanitation,Public toilet issue,low,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-07-02,Basavanagudi,Water Supply,Low pressure,medium,Open,Water Board,Third complaint from the same street.
2026-06-07,Malleshwaram,Sanitation,Stagnant water,critical,Escalated,Sanitation Dept,
2026-07-23,Koramangala,Noise,Loud construction,low,In Progress,Environment Cell,Affects a school zone nearby.
2026-06-15,BTM Layout,Public Health,Food safety,low,Resolved,Health Dept,Third complaint from the same street.
2026-07-10,Koramangala,Public Health,Open garbage,low,Resolved,Health Dept,Resident reported repeatedly this month.
2026-07-18,Malleshwaram,Public Health,Mosquito breeding,low,Open,Health Dept,Resident reported repeatedly this month.
2026-07-22,Jayanagar,Water Supply,Contaminated water,medium,Resolved,Water Board,Third complaint from the same street.
2026-06-26,Malleshwaram,Public Health,Mosquito breeding,high,In Progress,Health Dept,Third complaint from the same street.
2026-06-04,Basavanagudi,Roads,Pothole,low,In Progress,Public Works,
2026-06-19,Malleshwaram,Sanitation,Stagnant water,low,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-12,Koramangala,Water Supply,Contaminated water,low,Open,Water Board,Escalated after no response in 72 hours.
2026-07-17,Koramangala,Waste Collection,Missed pickup,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-16,Malleshwaram,Water Supply,Low pressure,high,Resolved,Water Board,
2026-06-05,Jayanagar,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-07-11,Domlur,Public Health,Food safety,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-07,Rajajinagar,Waste Collection,Missed pickup,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-20,Jayanagar,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-06-15,Malleshwaram,Noise,Loud construction,high,In Progress,Environment Cell,Recurring issue during monsoon.
2026-07-19,Basavanagudi,Sanitation,Stagnant water,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-06-16,Malleshwaram,Noise,Traffic noise,high,Open,Environment Cell,Escalated after no response in 72 hours.
2026-06-30,Rajajinagar,Roads,Blocked drain,medium,Open,Public Works,Recurring issue during monsoon.
2026-07-14,Jayanagar,Roads,Blocked drain,low,Escalated,Public Works,Resident reported repeatedly this month.
2026-05-31,Koramangala,Roads,Broken streetlight,high,Open,Public Works,Recurring issue during monsoon.
2026-06-25,Malleshwaram,Noise,Industrial noise,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-06-07,Rajajinagar,Roads,Broken streetlight,low,Open,Public Works,Flagged by community volunteer.
2026-07-04,BTM Layout,Water Supply,Leak,low,In Progress,Water Board,Escalated after no response in 72 hours.
2026-07-23,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-07-15,Vijayanagar,Sanitation,Public toilet issue,low,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-20,Koramangala,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-19,Vijayanagar,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-07-08,Domlur,Roads,Pothole,low,Resolved,Public Works,Resident reported repeatedly this month.
2026-06-22,Koramangala,Waste Collection,Missed pickup,medium,Open,Sanitation Dept,Affects a school zone nearby.
2026-07-18,Koramangala,Public Health,Stray animals,high,Open,Health Dept,Resident reported repeatedly this month.
